YEAR,Type,Neighbourhood,Total Construction Value,Additions,Interior/ Exterior Alterations,Secondary Suites,New Units,Demolished Units,Net Units,Number of Permits
2000,Single Family,Rideau Park,16000,3,0,0,0,0,0,4
2000,Single Family,Rio Terrace,348578,3,1,0,1,-1,0,9
2000,Single Family,Ritchie,768338,4,3,0,6,-23,-17,48
2000,Single Family,Riverdale,486502,3,0,0,3,-3,0,15
2000,Single Family,Rossdale,349017,0,0,0,3,-3,0,11
2000,Single Family,Rosslyn,62916,4,2,0,0,0,0,11
2000,Single Family,Royal Gardens,127637,5,2,0,0,0,0,9
2000,Single Family,Rundle Heights,37260,2,1,0,0,0,0,9
2000,Single Family,Sherbrooke,30114,2,0,0,0,0,0,6
2000,Single Family,Sherwood,149028,2,1,0,1,-1,0,10
2000,Single Family,Spruce Avenue,55142,4,2,0,0,0,0,9
2000,Single Family,Strathcona,1827748,11,0,0,11,-11,0,58
2000,Single Family,Strathern,290964,5,0,0,2,-2,0,21
2000,Single Family,Terrace Heights,11200,0,1,0,0,0,0,3
2000,Single Family,Virginia Park,200127,1,0,0,1,-2,-1,9
2000,Single Family,Wellington,58419,1,2,0,0,0,0,8
2000,Single Family,West Jasper Place,723841,3,2,0,7,-6,1,23
2000,Single Family,West Meadowlark Park,25314,3,0,0,0,0,0,8
2000,Single Family,Westbrook Estates,130000,3,1,0,0,0,0,4
2000,Single Family,Westmount,1470643,12,5,0,6,-3,3,46
2000,Single Family,Westwood,115676,4,1,0,0,-2,-2,9
2000,Single Family,Windsor Park,489844,11,1,0,1,-1,0,21
2000,Single Family,Woodcroft,36407,2,0,0,0,0,0,8
2000,Single Family,York,36665,0,1,0,0,0,0,8
2000,Multi Family,Abbottsfield,263300,0,8,0,0,0,0,8
2000,Multi Family,Alberta Avenue,362000,0,7,0,0,0,0,7
2000,Multi Family,Allendale,141000,0,1,0,2,0,2,2
2000,Multi Family,Argyll,0,0,0,0,0,0,0,0
2000,Multi Family,Aspen Gardens,0,0,0,0,0,0,0,0
2000,Multi Family,Athlone,3000,0,1,0,0,0,0,1
2000,Multi Family,Avonmore,0,0,0,0,0,0,0,0
2000,Multi Family,Balwin,59000,0,2,0,0,0,0,2
2000,Multi Family,Beacon Heights,0,0,0,0,0,0,0,0
2000,Multi Family,Belgravia,0,0,0,0,0,0,0,0
2000,Multi Family,Belvedere,2000,0,1,0,0,0,0,1
2000,Multi Family,Bergman,0,0,0,0,0,0,0,0
2000,Multi Family,Beverly Heights,0,0,0,0,0,0,0,0
2000,Multi Family,Bonnie Doon,616000,0,0,0,6,-19,-13,6
2000,Multi Family,Boyle Street,279000,0,2,0,0,0,0,2
2000,Multi Family,Britannia Youngstown,30000,1,0,0,2,0,2,1
2000,Multi Family,Calder,2000,0,0,0,0,0,0,1
2000,Multi Family,Canora,256000,0,0,0,4,0,4,3
2000,Multi Family,Capilano,0,0,0,0,0,0,0,0
2000,Multi Family,Central McDougall,860000,0,0,0,4,0,4,2
2000,Multi Family,Cloverdale,553000,0,2,0,5,0,5,3
2000,Multi Family,Crestwood,0,0,0,0,0,0,0,0
2000,Multi Family,Cromdale,0,0,0,0,0,0,0,0
2000,Multi Family,Delton,0,0,0,0,0,0,0,0
2000,Multi Family,Delwood,0,0,0,0,0,0,0,0
2000,Multi Family,Dovercourt,0,0,0,0,0,0,0,0
2000,Multi Family,Downtown,18185000,0,3,0,410,-11,399,13
2000,Multi Family,Duggan,0,0,0,0,0,0,0,0
2000,Multi Family,Eastwood,442000,1,2,0,7,0,7,3
2000,Multi Family,Elmwood,0,0,0,0,0,0,0,0
2000,Multi Family,Elmwood Park,24000,0,1,0,0,0,0,1
2000,Multi Family,Empire Park,0,0,0,0,0,0,0,0
2000,Multi Family,Evansdale,0,0,0,0,0,0,0,0
2000,Multi Family,Forest Heights,0,0,0,0,0,0,0,0
2000,Multi Family,Fulton Place,0,0,0,0,0,0,0,0
2000,Multi Family,Garneau,22229090,2,4,0,258,0,258,14
2000,Multi Family,Glengarry,500,0,1,0,0,0,0,1
2000,Multi Family,Glenora,803000,0,3,0,0,0,0,3
2000,Multi Family,Glenwood,0,0,0,0,0,0,0,0
2000,Multi Family,Gold Bar,0,0,0,0,0,0,0,0
2000,Multi Family,Grandview Heights,0,0,0,0,0,0,0,0
2000,Multi Family,Greenfield,0,0,0,0,0,0,0,0
2000,Multi Family,Grovenor,120000,0,0,0,2,0,2,1
2000,Multi Family,Hazeldean,5000,0,1,0,0,0,0,1
2000,Multi Family,High Park,0,0,0,0,0,0,0,0
2000,Multi Family,Highlands,0,0,0,0,0,0,0,0
2000,Multi Family,Holyrood,0,0,0,0,0,0,0,0
2000,Multi Family,Idylwylde,0,0,0,0,0,0,0,0
2000,Multi Family,Inglewood,291000,0,3,0,2,0,2,5
2000,Multi Family,Jasper Park,6000,0,2,0,0,0,0,2
2000,Multi Family,Kenilworth,0,0,0,0,0,0,0,0
2000,Multi Family,Kensington,1079600,0,2,0,19,0,19,8
2000,Multi Family,Kildare,23000,1,1,0,0,0,0,2
2000,Multi Family,Kilkenny,117000,0,1,0,0,0,0,1
2000,Multi Family,Killarney,108000,0,2,0,0,0,0,2
2000,Multi Family,King Edward Park,2167000,0,0,0,38,0,38,7
2000,Multi Family,Landsdowne,0,0,0,0,0,0,0,0
2000,Multi Family,Lauderdale,0,0,0,0,0,0,0,0
2000,Multi Family,Laurier Heights,0,0,0,0,0,0,0,0
2000,Multi Family,Lendrum Place,0,0,0,0,0,0,0,0
2000,Multi Family,Lynnwood,30000,0,0,0,0,0,0,1
2000,Multi Family,Malmo Plains,0,0,0,0,0,0,0,0
2000,Multi Family,Mayfield,0,0,0,0,0,0,0,0
2000,Multi Family,McCauley,402000,0,4,0,6,-9,-3,9
2000,Multi Family,Mckernan,265000,0,0,0,4,0,4,2
2000,Multi Family,McQueen,0,0,0,0,0,0,0,0
2000,Multi Family,Meadowlark Park,8211000,0,0,0,118,0,118,3
2000,Multi Family,Montrose,0,0,0,0,0,0,0,0
2000,Multi Family,Newton,2000,0,0,0,0,0,0,1
2000,Multi Family,North Glenora,0,0,0,0,0,0,0,0
2000,Multi Family,Northmount,0,0,0,0,0,0,0,0
2000,Multi Family,Oliver,26285847,7,11,0,298,0,298,31
2000,Multi Family,Ottewell,0,0,0,0,0,0,0,0
2000,Multi Family,Parkallen,0,0,0,0,0,0,0,0
2000,Multi Family,Parkdale,0,0,0,0,0,0,0,0
2000,Multi Family,Parkview,0,0,0,0,0,0,0,0
2000,Multi Family,Patricia Heights,0,0,0,0,0,0,0,0
2000,Multi Family,Pleasantview,2000,0,1,0,0,0,0,1
2000,Multi Family,Prince Charles,120000,0,0,0,2,0,2,1
2000,Multi Family,Prince Rupert,0,0,0,0,0,0,0,0
2000,Multi Family,Queen Alexandra,53000,1,1,0,0,0,0,3
2000,Multi Family,Queen Mary Park,0,0,0,0,0,0,0,0
2000,Multi Family,Quesnell Heights,0,0,0,0,0,0,0,0
2000,Multi Family,Rideau Park,0,0,0,0,0,0,0,0
2000,Multi Family,Rio Terrace,0,0,0,0,0,0,0,0
2000,Multi Family,Ritchie,1581984,0,0,0,52,-4,48,3
2000,Multi Family,Riverdale,2818000,0,1,0,30,0,30,2
2000,Multi Family,Rossdale,0,0,0,0,0,0,0,0
2000,Multi Family,Rosslyn,0,0,0,0,0,0,0,0
2000,Multi Family,Royal Gardens,0,0,0,0,0,0,0,0
2000,Multi Family,Rundle Heights,0,0,0,0,0,0,0,0
2000,Multi Family,Sherbrooke,0,0,0,0,0,0,0,0
2000,Multi Family,Sherwood,0,0,0,0,0,0,0,0
2000,Multi Family,Spruce Avenue,0,0,0,0,0,0,0,0
2000,Multi Family,Strathcona,3028000,0,3,0,42,0,42,6
2000,Multi Family,Strathern,0,0,0,0,0,0,0,0
2000,Multi Family,Terrace Heights,30000,1,1,0,0,0,0,2
2000,Multi Family,Virginia Park,0,0,0,0,0,0,0,0
2000,Multi Family,Wellington,0,0,0,0,0,0,0,0
2000,Multi Family,West Jasper Place,120000,0,0,0,2,0,2,1
2000,Multi Family,West Meadowlark Park,5000,0,0,0,0,0,0,1
2000,Multi Family,Westbrook Estates,0,0,0,0,0,0,0,0
2000,Multi Family,Westmount,1021000,0,3,0,2,0,2,6
2000,Multi Family,Westwood,330000,0,0,0,4,0,4,2
2000,Multi Family,Windsor Park,0,0,0,0,0,0,0,0
2000,Multi Family,Woodcroft,0,0,0,0,0,0,0,0
2000,Multi Family,York,0,0,0,0,0,0,0,0
2001,Single Family,Abbottsfield,0,0,0,0,0,0,0,0
2001,Single Family,Alberta Avenue,725805,5,1,0,8,-7,1,55
2001,Single Family,Allendale,37447,3,0,0,0,0,0,9
2001,Single Family,Argyll,47786,1,1,0,0,0,0,5
2001,Single Family,Aspen Gardens,137326,1,0,0,0,0,0,4
2001,Single Family,Athlone,4378188,2,0,0,69,0,69,91
2001,Single Family,Avonmore,347454,6,2,0,1,0,1,13
2001,Single Family,Balwin,62723,4,1,0,0,0,0,12
2001,Single Family,Beacon Heights,207133,2,0,0,2,0,2,14
2001,Single Family,Belgravia,463729,8,0,0,1,-1,0,17
2001,Single Family,Bellevue,30066,3,0,0,0,-1,-1,6
2001,Single Family,Belvedere,212276,1,1,0,3,0,3,11
2001,Single Family,Bergman,27503,1,1,0,0,0,0,10
2001,Single Family,Beverly Heights,189059,3,2,0,1,-1,0,16
2001,Single Family,Bonnie Doon,1195403,5,1,0,8,-7,1,44
2001,Single Family,Boyle Street,416931,0,0,0,5,-3,2,11
2001,Single Family,Britannia Youngstown,148759,6,1,0,0,0,0,15
2001,Single Family,Calder,309621,4,0,0,3,-4,-1,20
2001,Single Family,Canora,64503,1,1,0,0,-1,-1,10
2001,Single Family,Capilano,686519,10,1,0,1,-1,0,21
2001,Single Family,Central McDougall,2500,0,0,0,0,-1,-1,2
2001,Single Family,Cloverdale,324309,2,0,0,2,-2,0,13
2001,Single Family,Crestwood,1084235,3,1,0,5,-4,1,27
2001,Single Family,Cromdale,19624,1,0,0,0,0,0,4
2001,Single Family,Delton,71564,1,1,0,0,0,0,12
2001,Single Family,Delwood,50833,1,0,0,0,0,0,8
2001,Single Family,Dovercourt,114067,2,0,0,0,0,0,11
2001,Single Family,Downtown,0,0,0,0,0,0,0,0
2001,Single Family,Duggan,343567,4,0,0,0,0,0,13
2001,Single Family,Eastwood,89992,2,0,0,1,0,1,8
2001,Single Family,Elmwood,39563,1,1,0,0,0,0,6
2001,Single Family,Elmwood Park,9669,1,0,0,0,0,0,2
2001,Single Family,Empire Park,0,0,0,0,0,0,0,0
2001,Single Family,Evansdale,40669,3,2,0,0,0,0,15
2001,Single Family,Forest Heights,78852,0,0,0,0,-1,-1,17
2001,Single Family,Fulton Place,401333,12,0,0,0,0,0,20
2001,Single Family,Garneau,181564,3,0,0,1,-8,-7,20
2001,Single Family,Glengarry,61398,2,0,0,0,0,0,7
2001,Single Family,Glenora,1889411,15,2,0,4,-3,1,50
2001,Single Family,Glenwood,453432,3,3,0,3,-3,0,25
2001,Single Family,Gold Bar,63345,2,1,0,0,0,0,9
2001,Single Family,Grandview Heights,29898,1,1,0,0,0,0,3
2001,Single Family,Greenfield,97926,6,0,0,0,0,0,12
2001,Single Family,Grovenor,437462,4,1,0,3,0,3,20
2001,Single Family,Hazeldean,120684,2,3,0,0,-1,-1,21
2001,Single Family,High Park,238231,5,0,0,1,-1,0,14
2001,Single Family,Highlands,587340,11,3,0,2,-2,0,35
2001,Single Family,Holyrood,73204,1,0,0,0,0,0,13
2001,Single Family,Idylwylde,118800,3,0,0,0,0,0,7
2001,Single Family,Inglewood,182319,3,2,0,1,0,1,18
2001,Single Family,Jasper Park,156501,0,1,0,1,-1,0,10
2001,Single Family,Kenilworth,44898,2,0,0,0,0,0,8
2001,Single Family,Kensington,52875,3,1,0,0,0,0,9
2001,Single Family,Kildare,24560,2,1,0,0,0,0,6
2001,Single Family,Kilkenny,98776,6,1,0,0,0,0,17
2001,Single Family,Killarney,16248,0,0,0,0,0,0,4
2001,Single Family,King Edward Park,228075,4,5,0,0,-2,-2,26
2001,Single Family,Landsdowne,28966,2,0,0,0,0,0,4
2001,Single Family,Lauderdale,49574,1,1,0,0,0,0,8
2001,Single Family,Laurier Heights,500597,13,1,0,0,0,0,25
2001,Single Family,Lendrum Place,82642,3,2,0,0,0,0,6
2001,Single Family,Lynnwood,34072,2,0,0,0,0,0,5
2001,Single Family,Malmo Plains,97107,4,0,0,0,0,0,9
2001,Single Family,Mayfield,98167,4,2,0,0,0,0,12
2001,Single Family,McCauley,823077,2,3,0,9,-8,1,34
2001,Single Family,Mckernan,1232254,6,4,0,4,-6,-2,40
2001,Single Family,McQueen,17985,0,1,0,0,0,0,4
2001,Single Family,Meadowlark Park,118283,2,1,0,0,0,0,10
2001,Single Family,Montrose,551744,6,1,0,9,-2,7,28
2001,Single Family,Newton,133000,1,0,0,1,0,1,17
2001,Single Family,North Glenora,141060,3,1,0,0,0,0,6
2001,Single Family,Northmount,52054,5,0,0,0,0,0,12
2001,Single Family,Oliver,392000,3,1,0,0,-2,-2,9
2001,Single Family,Ottewell,217051,8,3,0,0,0,0,21
2001,Single Family,Parkallen,288182,5,2,0,1,0,1,21
2001,Single Family,Parkdale,150176,1,2,0,1,-6,-5,16
2001,Single Family,Parkview,764587,13,1,0,1,0,1,26
2001,Single Family,Patricia Heights,112000,1,0,0,0,0,0,4
2001,Single Family,Pleasantview,661775,6,0,0,4,-2,2,28
2001,Single Family,Prince Charles,66662,5,1,0,0,0,0,11
2001,Single Family,Prince Rupert,350321,2,0,0,4,0,4,9
2001,Single Family,Queen Alexandra,113187,4,2,0,0,0,0,18
2001,Single Family,Queen Mary Park,31852,2,0,0,0,0,0,7
2001,Single Family,Quesnell Heights,141918,1,0,0,1,-1,0,3
2001,Single Family,Rideau Park,54726,1,0,0,0,0,0,3
2001,Single Family,Rio Terrace,121925,3,1,0,0,0,0,6
2001,Single Family,Ritchie,474989,3,1,0,3,-4,-1,28
2001,Single Family,Riverdale,1087162,2,2,0,10,-7,3,32
2001,Single Family,Rossdale,132762,1,0,0,1,-2,-1,6
2001,Single Family,Rosslyn,117500,1,5,0,0,0,0,8
2001,Single Family,Royal Gardens,24039,0,1,0,0,0,0,7
2001,Single Family,Rundle Heights,110500,6,0,0,0,0,0,9
2001,Single Family,Sherbrooke,23063,1,1,0,0,0,0,5
2001,Single Family,Sherwood,17794,1,0,0,0,0,0,6
2001,Single Family,Spruce Avenue,97772,2,0,0,1,0,1,7
2001,Single Family,Strathcona,821196,8,2,0,5,-3,2,34
2001,Single Family,Strathern,278421,4,2,0,1,-1,0,15
2001,Single Family,Terrace Heights,22174,2,0,0,0,0,0,4
2001,Single Family,Virginia Park,16000,1,0,0,0,-1,-1,3
2001,Single Family,Wellington,63229,4,2,0,0,0,0,15
2001,Single Family,West Jasper Place,140726,2,0,0,1,-1,0,12
2001,Single Family,West Meadowlark Park,92500,2,1,0,0,0,0,5
2001,Single Family,Westbrook Estates,253242,3,1,0,1,-1,0,8
2001,Single Family,Westmount,897365,12,2,0,4,-7,-3,50
2001,Single Family,Westwood,68777,1,1,0,0,0,0,10
2001,Single Family,Windsor Park,916387,7,1,0,2,-2,0,21
2001,Single Family,Woodcroft,40062,2,3,0,0,0,0,9
2001,Single Family,York,42128,5,1,0,0,0,0,11
2001,Multi Family,Abbottsfield,0,0,0,0,0,0,0,0
2001,Multi Family,Alberta Avenue,605000,0,1,0,10,0,10,3
2001,Multi Family,Allendale,2000,0,0,0,0,0,0,1
2001,Multi Family,Argyll,0,0,0,0,0,0,0,0
2001,Multi Family,Aspen Gardens,0,0,0,0,0,0,0,0
2001,Multi Family,Athlone,617200,0,0,0,14,0,14,3
2001,Multi Family,Avonmore,0,0,0,0,0,0,0,0
2001,Multi Family,Balwin,1500,0,0,0,0,0,0,1
2001,Multi Family,Beacon Heights,110000,0,0,0,2,0,2,1
2001,Multi Family,Belgravia,0,0,0,0,0,0,0,0
2001,Multi Family,Bellevue,0,0,0,0,0,0,0,0
2001,Multi Family,Belvedere,110000,0,0,0,2,0,2,1
2001,Multi Family,Bergman,0,0,0,0,0,0,0,0
2001,Multi Family,Beverly Heights,0,0,0,0,0,0,0,0
2001,Multi Family,Bonnie Doon,162500,1,2,0,2,0,2,5
2001,Multi Family,Boyle Street,2913000,2,3,0,27,0,27,9
2001,Multi Family,Britannia Youngstown,405000,0,0,0,4,0,4,2
2001,Multi Family,Calder,132200,0,0,0,2,0,2,2
2001,Multi Family,Canora,260000,0,0,0,4,0,4,2
2001,Multi Family,Capilano,0,0,0,0,0,0,0,0
2001,Multi Family,Central McDougall,110000,0,1,0,0,0,0,1
2001,Multi Family,Cloverdale,0,0,0,0,0,0,0,0
2001,Multi Family,Crestwood,0,0,0,0,0,0,0,0
2001,Multi Family,Cromdale,56000,0,2,0,0,0,0,2
2001,Multi Family,Delton,120000,0,0,0,2,0,2,1
2001,Multi Family,Delwood,0,0,0,0,0,0,0,0
2001,Multi Family,Dovercourt,0,0,0,0,0,0,0,0
2001,Multi Family,Downtown,22030877,1,6,0,418,0,418,20
2001,Multi Family,Duggan,0,0,0,0,0,0,0,0
